appid,name,developer,publisher,score_rank,positive,negative,userscore,owners,average_forever,average_2weeks,median_forever,median_2weeks,price,initialprice,discount,ccu
503680,The Seeker,VisualTech48,Intercido,,6,4,0,"0 .. 20,000",0,0,0,0,299,299,0,0
519940,Kubz VR,bibimbapstudio,bibimbapstudio,,18,6,0,"0 .. 20,000",0,0,0,0,399,399,0,0
521540,This World Unknown,ebi-hime,ebi-hime,,30,7,0,"0 .. 20,000",0,0,0,0,799,799,0,0
523570,Across Flash,Uborm,Uborm,,4,1,0,"0 .. 20,000",0,0,0,0,299,299,0,0
508930,Mini Z Racers Turbo,Coolegion Studios,Strategy First,,6,9,0,"0 .. 20,000",0,0,0,0,499,499,0,0
526090,Very Real Chess,Zachary Geier,Zachary Geier,,2,2,0,"0 .. 20,000",0,0,0,0,99,99,0,0
405760,Robot Squad Simulator 2017,Bit Golem,Ultimate Games S.A.,,93,51,0,"0 .. 20,000",17,0,26,0,1499,1499,0,0
488160,Galaxy Combat Wargames,Fork Particle Games,Fork Particle Games,,11,10,0,"0 .. 20,000",0,0,0,0,0,0,0,0
477140,SparkDimension,Asixa,Asixa,,26,39,0,"0 .. 20,000",0,0,0,0,999,999,0,0
463470,Lithium: Inmate 39,Canu Arts,Canu Arts,,20,11,0,"0 .. 20,000",0,0,0,0,0,0,0,0
517660,Drop Out 0,Ward Dehairs,Ward Dehairs,,11,2,0,"0 .. 20,000",0,0,0,0,199,199,0,0
524690,Bitslap,Comrex AG,Comrex AG,,26,1,0,"0 .. 20,000",0,0,0,0,699,699,0,0
498850,"Ortus Arena, strategy board game online, FOR FREE",Firebrush Studios,Plug In Digital,,24,13,0,"0 .. 20,000",0,0,0,0,0,0,0,0
531070,The Tower - Fantogame,Fantogame,Fantogame,,7,14,0,"0 .. 20,000",0,0,0,0,199,199,0,0
496930,Sumeru,BigCheeseGames,BigCheeseGames,,122,34,0,"0 .. 20,000",0,0,0,0,399,399,0,0
516520,Omega Reaction,Nick Van Fossen,Joe Censored Games LLC,,8,1,0,"0 .. 20,000",0,0,0,0,0,0,0,0
532260,Top Floor,SmartVR Studio,SmartVR Studio,,11,18,0,"0 .. 20,000",0,0,0,0,499,499,0,0
