appid,name,developer,publisher,score_rank,positive,negative,userscore,owners,average_forever,average_2weeks,median_forever,median_2weeks,price,initialprice,discount,ccu
997870,City Defense,"Studio48, Turykin Nikolay",Studio48,,4,6,0,"0 .. 20,000",0,0,0,0,399,399,0,0
1001760,Xtreme League,Art Of Adventures,Art Of Adventures,,0,3,0,"0 .. 20,000",0,0,0,0,399,399,0,0
1000130,Cube Defender,Simon Codrington,Simon Codrington,,6,0,0,"0 .. 20,000",0,0,0,0,299,299,0,0
988250,TowerHex,TowerHex Games,TowerHex Games,,4,1,0,"0 .. 20,000",0,0,0,0,999,999,0,0
932450,Blade of Acrimony,Frostnoble,Frostnoble,,7,0,0,"0 .. 20,000",0,0,0,0,499,499,0,0
992120,Inch by Inch,"LevelXProject, Dare Looks",Dare Looks,,38,0,0,"0 .. 20,000",0,0,0,0,299,299,0,1
873900,Lost Artifacts: Golden Island,"Creobit, GameOn Production",8floor,,14,8,0,"0 .. 20,000",0,0,0,0,1499,1499,0,0
998300,欢乐块队,Allosaurus,Allosaurus,,2,3,0,"0 .. 20,000",0,0,0,0,1099,1099,0,0
995070,Rise Eterna,"Makee, Forever Entertainment S. A.",Forever Entertainment S. A.,,34,38,0,"0 .. 20,000",0,0,0,0,1999,1999,0,0
974920,New Adult Reality,New Adult Reality,New Adult Reality,,1,1,0,"0 .. 20,000",0,0,0,0,999,999,0,0
953740,尸如潮水,十一游戏,十一游戏,,6,11,0,"0 .. 20,000",0,0,0,0,299,299,0,0
989750,Life In Helsinki,Doubleton Game Studio,Doubleton Game Studio,,2,0,0,"0 .. 20,000",0,0,0,0,399,399,0,0
1003600,NashBored,Fading Club,Fading Club,,19,2,0,"0 .. 20,000",0,0,0,0,99,99,0,0
979720,Big Bash Boom,Big Ant Studios,Big Ant Studios,,6,3,0,"0 .. 20,000",0,0,0,0,3999,3999,0,0
1001040,Glorious Companions,Ancient Forge Studio,Ancient Forge Studio,,64,32,0,"0 .. 20,000",0,0,0,0,1999,1999,0,1
996430,Pilot Sports,Z-Software,Z-Software GmbH,,2,2,0,"0 .. 20,000",0,0,0,0,1999,1999,0,0
974970,Blocky McBlockFace,BicBoi Bangers,BicBoi Bangers,,9,0,0,"0 .. 20,000",0,0,0,0,99,99,0,0
999560,Fragile Equilibrium,Magic Spell Studios,Magic Spell Studios,,9,1,0,"0 .. 20,000",0,0,0,0,0,0,0,0
789750,Idle Earth,Game Sage Productions,Game Sage Productions,,13,5,0,"0 .. 20,000",0,0,0,0,199,199,0,0
804780,VRでレムと異世界生活-膝枕&添寝編,CS-REPORTERS.INC,CS-REPORTERS.INC,,7,1,0,"0 .. 20,000",0,0,0,0,1999,1999,0,0
1002510,The Spell - A Kinetic Novel,Hangover Cat Purrroduction,Hangover Cat Purrroduction,,24,0,0,"0 .. 20,000",0,0,0,0,499,499,0,0
998730,Hail To The King,Almighty Games,Almighty Games,,8,4,0,"0 .. 20,000",0,0,0,0,199,199,0,0
1002950,Gravity Panda,Logic Games,Logic Games,,0,1,0,"0 .. 20,000",0,0,0,0,499,499,0,0
996920,CONTINUE,Pixel Pinecone,Kajak Games,,9,1,0,"0 .. 20,000",0,0,0,0,999,999,0,0
736920,Here & Elsewhere,Object Normal,Object Normal,,7,2,0,"0 .. 20,000",0,0,0,0,0,0,0,0
958130,NEET simulator,SilverBlade,SilverBlade,,15,11,0,"0 .. 20,000",0,0,0,0,199,199,0,0
966760,The Yellow Quiz,Modern Alchemy,Modern Alchemy,,4,5,0,"0 .. 20,000",0,0,0,0,0,0,0,0
1004570,blocks,BlueRichter,BlueRichter,,0,1,0,"0 .. 20,000",0,0,0,0,99,99,0,0
1003760,Aether Way,Fearless Donut,Fearless Donut,,1,0,0,"0 .. 20,000",0,0,0,0,1099,1099,0,0
1006720,PUZZLE: BIRDS,AFBIK Studio,AFBIK Studio,,9,2,0,"0 .. 20,000",0,0,0,0,99,99,0,0
1006850,XDeskClock,XDesktopSoft,XDesktopSoft,,27,10,0,"0 .. 20,000",0,0,0,0,299,299,0,9
1007050,Dark Hill Museum of Death,Dan Ruscoe,Dan Ruscoe,,27,2,0,"0 .. 20,000",0,0,0,0,199,199,0,0
