appid,name,developer,publisher,score_rank,positive,negative,userscore,owners,average_forever,average_2weeks,median_forever,median_2weeks,price,initialprice,discount,ccu
469600,Legion TD 2 - Multiplayer Tower Defense,AutoAttack Games,AutoAttack Games,,2710,732,0,"200,000 .. 500,000",3286,0,4255,0,1999,1999,0,430
558990,Opus Magnum,Zachtronics,Zachtronics,,4134,98,0,"200,000 .. 500,000",810,0,993,0,1999,1999,0,83
270450,Robot Roller-Derby Disco Dodgeball,Erik Asmussen,82 Apps,,3486,285,0,"200,000 .. 500,000",203,0,157,0,999,999,0,18
509980,BIGFOOT,CyberLight Game Studio,CyberLight Game Studio,,6164,2086,0,"200,000 .. 500,000",441,34,218,37,1999,1999,0,915
1238080,Burnout Paradise Remastered,"Stellar Entertainment, Criterion Games",Electronic Arts,,2148,1209,0,"200,000 .. 500,000",208,0,236,0,1999,1999,0,49
251150,The Legend of Heroes: Trails in the Sky,Nihon Falcom,"XSEED Games, Marvelous USA, Inc.",,5562,433,0,"200,000 .. 500,000",1781,0,1690,0,1999,1999,0,189
984110,SYNTHETIK: Arena,Flow Fire Games,Flow Fire Games,,1795,176,0,"200,000 .. 500,000",94,0,54,0,0,0,0,23
420740,The Deed,"Pilgrim Adventures, GrabTheGames Studios","GrabTheGames, WhisperGames",,2175,235,0,"200,000 .. 500,000",140,0,178,0,99,99,0,10
317410,Color Symphony,REMIMORY,REMIMORY,,959,344,0,"200,000 .. 500,000",16,0,23,0,0,0,0,0
650700,Yume Nikki,kikiyama,PLAYISM,,3385,254,0,"200,000 .. 500,000",119,0,103,0,0,0,0,33
278970,Digger Online,Дмитриев Максим Константинович,Дмитриев Максим Константинович,,8500,9775,0,"200,000 .. 500,000",31,0,29,0,199,199,0,36
425580,The Room Two,Fireproof Games,Fireproof Games,,12738,282,0,"200,000 .. 500,000",198,0,210,0,499,499,0,82
323320,Grow Home,"Reflections, a Ubisoft Studio",Ubisoft,,4454,416,0,"200,000 .. 500,000",134,0,132,0,799,799,0,7
70660,Worms Pinball,Team17 Digital Ltd,Team17 Digital Ltd,,183,211,0,"200,000 .. 500,000",8,0,9,0,799,799,0,2
208730,Game of Thrones,Cyanide Studios,HandyGames,,1549,621,0,"200,000 .. 500,000",167,0,205,0,1499,1499,0,5
2840,X: Beyond the Frontier,Egosoft,Egosoft,,199,71,0,"200,000 .. 500,000",51,0,58,0,499,499,0,5
226720,LOST PLANET 3,Spark Unlimited,Capcom,,1933,1163,0,"200,000 .. 500,000",124,0,149,0,2499,2499,0,10
667720,Red Faction Guerrilla Re-Mars-tered,"Volition, KAIKO",Deep Silver,,2198,556,0,"200,000 .. 500,000",240,0,184,0,1999,1999,0,55
828740,Tales of the Neon Sea,Palm Pioneer,Thermite Games,,1672,291,0,"200,000 .. 500,000",17,0,17,0,1699,1699,0,31
326410,Windward,Tasharen Entertainment Inc.,Tasharen Entertainment Inc.,,2607,647,0,"200,000 .. 500,000",422,0,477,0,999,999,0,34
463220,Dungeon of Zolthan,Robert Alvarez,New Reality Games,,378,110,0,"200,000 .. 500,000",240,0,258,0,99,99,0,0
829590,CryoFall,AtomicTorch Studio,Daedalic Entertainment,,2938,784,0,"200,000 .. 500,000",417,0,506,0,1999,1999,0,248
591960,Animation Throwdown: The Quest for Cards,"Synapse Games, Chinzilla",Kongregate,,2090,705,0,"200,000 .. 500,000",440,0,55,0,0,0,0,117
562590,Galactic Junk League,Pixel Federation,Pixel Federation,,1212,556,0,"200,000 .. 500,000",137,0,143,0,0,0,0,0
285580,ACE - Arena: Cyber Evolution,Spearhead Games,Spearhead Games,,721,358,0,"200,000 .. 500,000",20,0,19,0,0,0,0,0
688420,Bad North: Jotunn Edition,Plausible Concept,Raw Fury,,4537,444,0,"200,000 .. 500,000",285,0,385,0,1499,1499,0,102
1373500,Mist of the Undead,"Hayden, Rothman","Hayden , Rothman",,9,10,0,"200,000 .. 500,000",0,0,0,0,0,0,0,0
770240,PRO EVOLUTION SOCCER 2019,Konami Digital Entertainment,Konami Digital Entertainment,,3109,2758,0,"200,000 .. 500,000",4508,0,2275,0,0,0,0,268
1112400,Project Torque - Free 2 Play MMO Racing Game,"Invictus Games Ltd., JOGARA LTD",JOGARA LTD,,1000,382,0,"200,000 .. 500,000",0,0,0,0,0,0,0,26
249590,Teslagrad,Rain Games,Rain Games,,1861,321,0,"200,000 .. 500,000",142,0,214,0,999,999,0,5
469890,Space Codex,takk,takk,,274,56,0,"200,000 .. 500,000",225,0,234,0,99,99,0,0
275490,Canyon Capers,CrazyMoo Games,KPL,,848,1065,0,"200,000 .. 500,000",192,0,210,0,699,699,0,2
412830,STEINS;GATE,MAGES. Inc.,"Spike Chunsoft Co., Ltd.",,10417,263,0,"200,000 .. 500,000",313,0,188,0,2999,2999,0,150
320140,Absolute Drift,"Funselektor Labs Inc., FlippFly",Funselektor Labs Inc.,,2252,289,0,"200,000 .. 500,000",100,0,126,0,1199,1199,0,9
451880,Catch a Falling Star,Alister Software,Back To Basics Gaming,,409,150,0,"200,000 .. 500,000",245,0,234,0,99,99,0,59
204530,Infested Planet,Rocket Bear Games,Rocket Bear Games,,2399,158,0,"200,000 .. 500,000",818,0,868,0,1499,1499,0,21
404790,Godot Engine,Godot Engine,Godot Engine,,1585,47,0,"200,000 .. 500,000",125,0,90,0,0,0,0,55
921390,武林志（Wushu Chronicles）,JiangHu Studio,Snail Games,,1391,832,0,"200,000 .. 500,000",348,0,348,0,1299,1299,0,59
429180,Project CARS - Pagani Edition,Slightly Mad Studios,"Slightly Mad Studios, BANDAI NAMCO Entertainment",,823,482,0,"200,000 .. 500,000",30,0,26,0,0,0,0,20
1147550,Not For Broadcast,NotGames,tinyBuild,,4750,221,0,"200,000 .. 500,000",280,22,382,22,2499,2499,0,30
734750,PickCrafter,Fiveamp,Fiveamp,,3400,572,0,"200,000 .. 500,000",129,0,42,0,0,0,0,161
421050,Deponia Doomsday,Daedalic Entertainment,Daedalic Entertainment,,2641,413,0,"200,000 .. 500,000",334,0,391,0,1999,1999,0,46
363680,Battlefleet Gothic: Armada,Tindalos Interactive,Focus Home Interactive,,3547,1639,0,"200,000 .. 500,000",618,0,369,0,1999,1999,0,45
1061090,Jump King,Nexile,Nexile,,4946,538,0,"200,000 .. 500,000",1462,1,1205,1,1299,1299,0,617
253490,CABAL Online,ESTgames Corp.,ESTsoft Inc.,,734,354,0,"200,000 .. 500,000",18,0,24,0,0,0,0,0
207650,A Virus Named TOM,Misfits Attic,Misfits Attic,,400,312,0,"200,000 .. 500,000",107,0,136,0,999,999,0,1
513000,KUBOOM,nobodyshot,nobodyshot,,1287,1244,0,"200,000 .. 500,000",310,1,180,1,0,0,0,35
400910,Rabi-Ribi,"CreSpirit, GemaYue",CreSpirit,,9203,258,0,"200,000 .. 500,000",1730,60,2454,60,1799,1799,0,79
13200,Unreal 2: The Awakening,"Epic Games, Inc.","Epic Games, Inc.",,331,143,0,"200,000 .. 500,000",23,0,26,0,1499,1499,0,2
326360,Warspear Online,AIGRIND,AIGRIND,,1315,427,0,"200,000 .. 500,000",16858,0,75,0,0,0,0,253
800270,Terraforming Mars,Asmodee Digital,Asmodee Digital,,2747,849,0,"200,000 .. 500,000",285,0,394,0,1999,1999,0,677
459220,Halo Wars: Definitive Edition,"Ensemble Studios, Behaviour Interactive, 343 Industries",Xbox Game Studios,,4816,540,0,"200,000 .. 500,000",1022,0,703,0,1999,1999,0,189
1282690,Crysis 3,Crytek,Electronic Arts,,3173,522,0,"200,000 .. 500,000",58,0,74,0,749,2999,75,175
94300,The Dream Machine: Chapter 1 & 2,Cockroach Inc.,The Sleeping Machine,,1526,198,0,"200,000 .. 500,000",207,0,272,0,399,399,0,12
960910,Heavy Rain,Quantic Dream,Quantic Dream,,3685,765,0,"200,000 .. 500,000",215,0,357,0,1999,1999,0,89
307070,Memories of a Vagabond,Darkelite Studio Inc,SA Industry,,920,222,0,"200,000 .. 500,000",226,0,217,0,49,499,90,69
493200,RiME,"Tequila Works, QLOC","Grey Box, Six Foot",,4012,425,0,"200,000 .. 500,000",196,0,229,0,2999,2999,0,8
384490,NECROPOLIS: BRUTAL EDITION,Harebrained Schemes,"Paradox Interactive, Bandai Namco",,2889,1527,0,"200,000 .. 500,000",305,0,203,0,2999,2999,0,14
512640,Final Quest,RPG Video,Back To Basics Gaming,,64,92,0,"200,000 .. 500,000",223,0,233,0,99,99,0,0
1275630,Drug Dealer Simulator: Free Sample,Byterunners Game Studio,"Movie Games S.A., PlayWay S.A.",,2137,261,0,"200,000 .. 500,000",45,0,41,0,0,0,0,18
