appid,name,developer,publisher,score_rank,positive,negative,userscore,owners,average_forever,average_2weeks,median_forever,median_2weeks,price,initialprice,discount,ccu
1493310,Brave Hero,Welland,KazakovStudios,,11,2,0,"0 .. 20,000",0,0,0,0,99,99,0,0
547750,Endless Night - Alpha,Yerawizard LLC,Yerawizard LLC,,42,6,0,"0 .. 20,000",0,0,0,0,0,0,0,0
488950,Werewolves Within,Ubisoft,Ubisoft,,83,48,0,"0 .. 20,000",0,0,0,0,1999,1999,0,1
1210380,Bingo VR,"Babaoga, LLC","Babaroga, LLC",,14,4,0,"0 .. 20,000",0,0,0,0,0,0,0,0
557030,Avenger Bird,TiliaSoft,Ultimate Games S.A.,,28,19,0,"0 .. 20,000",0,0,0,0,399,399,0,0
555080,Isyium,Glenn Main,Glenn Main,,4,5,0,"0 .. 20,000",0,0,0,0,99,99,0,0
1307810,Cybxus Heart,"TheDreik, DarkDes Labs",TheDreik,,2,0,0,"0 .. 20,000",0,0,0,0,499,499,0,0
904960,Cine Tracer,Matt Workman,Cinematography Database,,199,82,0,"0 .. 20,000",0,0,0,0,8999,8999,0,9
438320,Rush Rover,radio,"radio, indienova",,202,9,0,"0 .. 20,000",0,0,0,0,499,499,0,1
541350,Calm Waters: A Point and Click Adventure,Tayanna Studios,Tayanna Studios,,19,18,0,"0 .. 20,000",0,0,0,0,499,499,0,0
551780,Dating Lessons,Cerevrum Inc.,Cerevrum Inc.,,3,7,0,"0 .. 20,000",0,0,0,0,999,999,0,0
1494920,星帷之瓣,daihua.k,daihua.k,,49,2,0,"0 .. 20,000",0,0,0,0,0,0,0,0
559310,Illyriad - Grand Strategy MMO,Illyriad Games,Illyriad Games,,85,43,0,"0 .. 20,000",0,0,0,0,0,0,0,6
1124830,Touhou Blooming Chaos,"二色幽紫蝶, Re零同人社","二色幽紫蝶, 东游鉴",,292,31,0,"0 .. 20,000",31,0,31,0,599,599,0,1
556720,Off-Road Super Racing,GameTop.com,GameTop.com,,31,41,0,"0 .. 20,000",7,0,12,0,0,0,0,0
566560,Fighters Unleashed,Volens Nolens Games,Volens Nolens Games,,16,24,0,"0 .. 20,000",313,0,332,0,99,99,0,28
1283370,"A Painter's Tale: Curon, 1950",Monkeys Tales Studio,"Monkeys Tales Studio, IVIPRO",,18,2,0,"0 .. 20,000",0,0,0,0,799,799,0,0
786910,Deluded Mind,Sky Haubrich,Pyxton Studios,,58,31,0,"0 .. 20,000",0,0,0,0,699,699,0,0
564470,Battle for Orion 2,Infinite Loop Games,Infinite Loop Games,,50,12,0,"0 .. 20,000",0,0,0,0,1499,1499,0,2
938310,12 Labours of Hercules VIII: How I Met Megara,"Jetdogs Studios, Zoom Out Games",Jetdogs Studios,,122,4,0,"0 .. 20,000",0,0,0,0,299,299,0,3
1472600,Terrene - An Evidence Of Life Game,"Albatross Wirehead, JustWall Games",JustWall Wirehead Games,,22,1,0,"0 .. 20,000",0,0,0,0,999,999,0,0
548090,Alone in the Dark 1,Infogrames,THQ Nordic,,119,10,0,"0 .. 20,000",0,0,0,0,1499,1499,0,1
1157050,Flinger Tactics,"Dan Schumacher, SchuBox Studio","Dan Schumacher, SchuBox Studio",,30,2,0,"0 .. 20,000",0,0,0,0,0,0,0,0
1071660,Ruine,Potku,Potku,,15,0,0,"0 .. 20,000",0,0,0,0,499,499,0,0
514340,Aliens Go Home Run,ANIM•ACE,ANIM•ACE,,60,6,0,"0 .. 20,000",0,0,0,0,399,399,0,0
1316530,Scuffed Tower Defense,Otis Anderson,Otis Fuse Productions,,20,0,0,"0 .. 20,000",0,0,0,0,999,999,0,0
762490,Naked Sun,Door Z Studio,Door Z Studio,,67,13,0,"0 .. 20,000",0,0,0,0,599,599,0,2
872440,rumii,Doghead Simulations,Doghead Simulations,,14,6,0,"0 .. 20,000",0,0,0,0,0,0,0,0
