appid,name,developer,publisher,score_rank,positive,negative,userscore,owners,average_forever,average_2weeks,median_forever,median_2weeks,price,initialprice,discount,ccu
1380170,Blood War,"Repa Games, ImperiumGame",ImperiumGame,,6,6,0,"0 .. 20,000",0,0,0,0,159,399,60,0
1359340,Fairy Bubble,"Claudia, Marcos",CM Studio,,1,0,0,"0 .. 20,000",0,0,0,0,599,599,0,0
1370510,Tahul,SCAD Students &amp; Faculty,Siggraph VR Theater 2020,,6,2,0,"0 .. 20,000",0,0,0,0,0,0,0,0
1376010,YRek Lost In Portals,Gabriel Lopez,Gabriel Lopez,,5,0,0,"0 .. 20,000",0,0,0,0,699,699,0,0
1381370,Lloyd the Monkey 2,Meyer Games,Meyer Games,,3,0,0,"0 .. 20,000",0,0,0,0,599,599,0,0
1384090,AutoLand,NanningsGames,NanningsGames,,6,1,0,"0 .. 20,000",0,0,0,0,99,99,0,0
1176640,Frostpoint VR: Proving Grounds,inXile Entertainment,Thirdverse,,25,24,0,"0 .. 20,000",124,0,124,0,0,0,0,0
1336160,Chupa Chupa VR,kan.kikuchi,kan.kikuchi,,64,7,0,"0 .. 20,000",0,0,0,0,879,1099,20,0
1383690,A Wake Inn,VR Bros,VR Bros,,24,15,0,"0 .. 20,000",0,0,0,0,1999,1999,0,0
1264850,Apastron,Noah Williams,Day Dreamer Games,,12,2,0,"0 .. 20,000",0,0,0,0,599,599,0,0
1384350,Bricks Frenzy,Kenisoft Game Studio,Kenisoft Game Studio,,12,2,0,"0 .. 20,000",0,0,0,0,599,599,0,0
1374200,Lockdown VR: Kidnapped,Zoom Games,Lockdown Escape,,11,1,0,"0 .. 20,000",0,0,0,0,999,999,0,0
1370250,Super Nate Adventure,Kupoapo,Kupoapo,,12,2,0,"0 .. 20,000",0,0,0,0,299,299,0,0
1383500,客栈江湖-Vagabond Inn,肥螳螂,肥螳螂,,28,19,0,"0 .. 20,000",0,0,0,0,399,399,0,0
1363840,Saviors of Sapphire Wings / Stranger of Sword City Revisited,"Experience Inc., Codeglue","NIS America, Inc.",,68,32,0,"0 .. 20,000",3,0,3,0,4999,4999,0,13
1380150,Sword Game,MOSN,MOSN,,15,3,0,"0 .. 20,000",0,0,0,0,0,0,0,0
1388150,Dispersion,Roew Rewk,RoewRe,,2,3,0,"0 .. 20,000",0,0,0,0,99,99,0,0
1376040,Missing Time,Fluttering Abyss,Fluttering Abyss,,19,4,0,"0 .. 20,000",0,0,0,0,1999,1999,0,0
1384820,Psychocat: The Door,Chewa,Chewa,,10,2,0,"0 .. 20,000",0,0,0,0,499,499,0,0
