appid,name,developer,publisher,score_rank,positive,negative,userscore,owners,average_forever,average_2weeks,median_forever,median_2weeks,price,initialprice,discount,ccu
754040,Piggy Poggy Pog,TSS Studio,TSS Studio,,295,85,0,"0 .. 20,000",0,0,0,0,199,199,0,3
836870,Art of Murder - Deadly Secrets,City Interactive S.A.,City Interactive S.A.,,7,44,0,"0 .. 20,000",0,0,0,0,499,499,0,1
1511870,末日竟在我身边 - Zombies Everywhere,LU QI,LU QI,,37,6,0,"0 .. 20,000",0,0,0,0,299,299,0,1
1424120,Synth Swinger,TerpySauceStudios,TerpySauce,,1,0,0,"0 .. 20,000",0,0,0,0,699,699,0,0
422760,Ocean Rift,Llyr ap Cenydd,Picselica Ltd,,93,22,0,"0 .. 20,000",10,0,10,0,999,999,0,0
829750,Robots Attack On Vapeland,"Nikita ""Ghost_RUS""",Ghost_RUS Games,,6,15,0,"0 .. 20,000",0,0,0,0,299,299,0,0
1040490,Prologue for a Vacant Kingdom,shru,shru,,203,6,0,"0 .. 20,000",0,0,0,0,0,0,0,0
708430,Kamikaze Cube,"Nikita ""Ghost_RUS""",Ghost_RUS Games,,28,56,0,"0 .. 20,000",0,0,0,0,199,199,0,0
1029630,Power & Revolution 2019 Edition,Eversim,Eversim,,671,425,0,"0 .. 20,000",11101,0,11101,0,4999,4999,0,81
746570,Box Looter 2018,Ludo Land,Ludo Land,,21,8,0,"0 .. 20,000",0,0,0,0,99,99,0,0
825930,Royal Battleships,Educational Games,Educational Games,,33,9,0,"0 .. 20,000",0,0,0,0,299,299,0,0
1114650,HorrorVale,BatWorks Software,BatWorks Software,,91,1,0,"0 .. 20,000",0,0,0,0,0,0,0,1
1265820,Fights in Tight Spaces,Ground Shatter,Mode 7,,762,52,0,"0 .. 20,000",372,0,372,0,2499,2499,0,93
831490,Draw Near,Omniscience,Taiga Nishimura,,15,6,0,"0 .. 20,000",10,0,10,0,0,0,0,0
761280,White Pearl,Harry Gill,Harry Gill,,49,16,0,"0 .. 20,000",0,0,0,0,0,0,0,0
1267920,Stealth Master,YAOYICHEN,YAOYICHEN,,3,0,0,"0 .. 20,000",0,0,0,0,999,999,0,0
722760,Captain Firebeard and the Bay of Crows,Sapphire Dragon Productions,Sapphire Dragon Productions,,18,10,0,"0 .. 20,000",0,0,0,0,999,999,0,0
709050,GHOUL,Miracle Studio,Miracle Studio,,3,21,0,"0 .. 20,000",0,0,0,0,1999,1999,0,0
949380,AV-17,WANZUNGDEV,WANZUNGDEV,,47,11,0,"0 .. 20,000",0,0,0,0,0,0,0,0
704360,SACRALITH : The Archer`s Tale,Odd Meter,Odd Meter,,201,30,0,"0 .. 20,000",0,0,0,0,999,1999,50,0
1047340,TimeFall,"Unlimited_Deer_, ASSM","Unlimited_Deer_, ASSM",,3,0,0,"0 .. 20,000",0,0,0,0,99,99,0,0
746410,Stop Santa - Tower Defense,Taco Truck Games,Taco Truck Games,,33,13,0,"0 .. 20,000",0,0,0,0,99,99,0,0
964080,Endless Universe 2 PC Live Wallpaper,3dm_live_wallpapers,3dm_live_wallpapers,,30,13,0,"0 .. 20,000",0,0,0,0,299,299,0,4
953370,ZED,Eagre Games,Cyan Ventures,,81,53,0,"0 .. 20,000",0,0,0,0,1799,1799,0,0
904550,Robot Chase,Garage Games,Garage Games,,12,35,0,"0 .. 20,000",0,0,0,0,99,99,0,0
1259150,Plan V: Virtual Studio,Painting Practice,Painting Practice,,4,2,0,"0 .. 20,000",0,0,0,0,0,0,0,0
1044340,The 7th Guest: 25th Anniversary Edition,"MojoTouch, Trilobyte Games",MojoTouch,,87,26,0,"0 .. 20,000",0,0,0,0,999,999,0,2
763400,Cave Runner,BadCat Studios,BadCat Studios,,22,27,0,"0 .. 20,000",0,0,0,0,99,99,0,0
1173940,Barrage Musical ~ Basic Danmaku Tutorial ~ / 弹幕音乐绘 ~ 基础教学篇 ~,SlimeSmile,SlimeSmile,,142,2,0,"0 .. 20,000",0,0,0,0,199,199,0,0
832610,Corrupted,Juvty Worlds Ltd.,Juvty Worlds Ltd.,,18,23,0,"0 .. 20,000",0,0,0,0,999,999,0,0
730620,Hammer 2,RewindApp,RewindApp,,235,35,0,"0 .. 20,000",0,0,0,0,499,499,0,0
699480,The Doorbreaker,Meepower,Meepower,,10,24,0,"0 .. 20,000",0,0,0,0,99,99,0,0
834070,AI Escort,MagicHouse,Paradise Project,,87,46,0,"0 .. 20,000",0,0,0,0,0,0,0,0
1328500,The Adventures of Crackhead Jack: Overdose Edition,vfjekgd,vfjekgd,,16,0,0,"0 .. 20,000",0,0,0,0,499,499,0,0
765880,The Occupation,White Paper Games,Humble Games,,153,87,0,"0 .. 20,000",214,0,291,0,2999,2999,0,5
1520270,Kyvir: Rebirth,Dawnblaze Entertainment,AplusGames,,319,55,0,"0 .. 20,000",0,0,0,0,799,799,0,6
1355620,Mage Rage,indie-dir,indie-dir,,8,0,0,"0 .. 20,000",0,0,0,0,999,999,0,0
718200,Forever Home,Pixel Blade Games,Pixel Blade Games,,136,12,0,"0 .. 20,000",0,0,0,0,99,99,0,3
712000,Elder Chaos,Emprom Game,Emprom Game,,35,37,0,"0 .. 20,000",0,0,0,0,499,499,0,0
1522630,Dark Treasury,"KuKusFs Production, Red Axe",KuKusFs Production,,27,9,0,"0 .. 20,000",0,0,0,0,299,299,0,0
889740,The Oni Sellsword,Eric Baskin,Eric Baskin,,51,3,0,"0 .. 20,000",0,0,0,0,0,0,0,0
968570,Chaordic,Artepi Corporation,Artepi Corporation,,17,2,0,"0 .. 20,000",0,0,0,0,0,0,0,0
740570,illie,NedoStudio,NedoStudio,,89,16,0,"0 .. 20,000",2,0,2,0,199,199,0,0
646330,Darkness and Flame: Missing Memories,FIVE-BN GAMES,FIVE-BN GAMES,,71,2,0,"0 .. 20,000",186,0,186,0,699,699,0,6
