,0
585,1426310
586,958790
587,722760
588,1347240
589,922100
590,352360
591,345440
592,539340
593,399670
594,1058140
595,314320
596,570090
597,1454910
598,401090
599,1244040
600,369190
601,801010
602,383730
603,496450
604,521880
605,1491170
606,954650
607,355680
608,266130
609,1078510
610,948470
611,99100
612,942900
613,1015700
614,801210
615,995790
616,1289490
617,1363650
618,500670
619,1348160
620,1566230
621,733250
622,1367680
623,1632610
624,1613050
625,451930
626,1328570
627,1653300
628,1566250
629,1384090
630,1389830
631,1710140
632,824270
633,1024640
634,415000
635,912170
636,1046770
637,683880
638,668660
639,376990
640,288270
641,292350
642,891420
643,523410
644,932480
645,779960
646,1468090
647,315240
648,393340
649,1119570
650,9180
651,397430
652,283960
653,283940
654,1393820
655,283980
656,294660
657,1540560
658,716680
659,294530
660,292800
661,294540
662,294670
663,283920
664,292780
665,292240
666,294650
667,292260
668,294570
669,294550
670,284020
671,407050
672,284000
673,294580
674,780750
675,1384500
676,1495510
677,1639250
678,1591310
679,1592550
680,1638910
681,1019450
682,548230
683,289090
684,1222160
685,799260
686,1059460
687,263420
688,965340
689,1002
690,1098510
691,821500
692,1067080
693,959050
694,698500
695,1331670
696,802260
697,1454550
698,857540
699,1254140
700,880860
701,1141300
702,1103520
703,1077420
704,1005390
705,674090
706,423490
707,908180
708,641780
709,401760
710,964570
711,455910
712,408250
713,785770
714,518690
715,696280
716,520840
717,607760
718,751670
719,1037420
720,1470790
721,786630
722,1240840
723,1251530
724,666800
725,730300
726,709720
727,701970
728,690670
729,999040
730,681150
731,875320
732,1183670
733,693240
734,1517370
735,680070
736,1301730
737,950330
738,745960
739,1296770
740,1637070
741,752470
742,1498120
743,1562040
744,552440
745,794960
746,388420
747,639490
748,1138410
749,634120
750,566190
751,1421760
752,635670
753,1151120
754,1287000
755,233410
756,1073900
757,676760
758,785100
759,754930
760,393430
761,1094780
762,1024010
763,1094000
764,539320
765,679750
766,403980
767,1101140
768,401290
769,794180
770,71240
771,846710
772,1535500
773,1322600
774,1556420
775,748300
776,578720
777,891170
778,425460
779,453290
780,351170
781,463220
782,1057780
783,552390
784,431850
785,592200
786,1080130
787,596870
788,250070
789,359970
790,316660
791,732840
792,861180
793,659780
794,746900
795,1199140
796,890480
797,877040
798,612160
799,819040
800,917910
801,855480
802,1033250
803,870120
804,956430
805,1090520
806,756420
807,715470
808,1113690
809,887850
810,932120
811,1563550
812,1217560
813,781610
814,1052310
815,868880
816,351910
817,960980
818,524640
819,566050
820,924070
821,211160
822,1082890
823,1007810
824,623640
825,574310
826,714250
827,606710
828,1372300
829,17100
830,210950
831,304730
832,914010
833,657240
834,225420
835,315660
836,538810
837,553520
838,73010
839,754150
840,1314140
841,7600
842,714800
843,994890
844,24670
845,492090
846,750170
847,356430
848,955170
849,278550
850,7620
851,1591420
852,7610
853,428350
854,856010
855,993690
856,343070
857,271370
858,584930
859,1137020
860,306490
861,541270
862,447310
863,251020
864,1003730
865,306370
866,833030
867,352130
868,779640
869,341020
870,493540
871,243160
872,833040
873,428220
874,219680
875,771840
876,598980
877,831060
878,1510950
879,891870
880,1174460
881,955070
882,1225260
883,322950
884,1597430
885,70210
886,361320
887,1067350
888,1069470
889,1340600
890,1345360
891,1253820
892,945700
893,545200
894,8330
895,1603220
896,320970
897,1456060
898,1131140
899,1583870
900,989460
901,1597560
902,1464320
903,508580
904,813240
905,726580
906,1213420
907,843870
908,713100
909,768300
910,1508650
911,1094880
912,807860
913,613330
914,4100
915,1444890
916,1196660
917,881050
918,1545970
919,1577750
920,1246940
921,1507260
922,1580770
923,1584560
924,1107720
925,1548640
926,1479840
927,999020
928,1149440
929,277890
930,1248120
931,286240
932,290040
933,1246250
934,351060
935,976920
936,414920
937,758730
938,578690
939,1142270
940,655380
941,315260
942,1004330
943,1428780
944,1532510
945,1450650
946,1406200
947,651340
948,287860
949,1233200
950,411680
951,583890
952,1198210
953,1392430
954,1346390
955,1183500
956,800690
957,629970
958,1416760
959,1048280
960,1599470
961,1559430
962,1579320
963,690420
964,515180
965,953580
966,543900
967,700660
968,91600
969,306020
970,457730
971,371140
972,296490
973,395570
974,562500
975,334210
976,1508680
977,1433420
978,656240
979,1048950
980,3020
981,1071290
982,260730
983,291840
984,15750
985,853050
986,250500
987,475960
988,662920
989,518280
990,1059740
991,9710
992,459010
993,610310
994,358810
995,1192610
996,559620
997,18470
998,375130
999,517670
1000,771530
1001,760320
1002,978180
1003,313470
1004,618430
1005,1059150
1006,1631850
1007,546210
1008,534360
1009,880300
1010,488280
1011,262550
1012,1437770
1013,305780
1014,322680
1015,1008870
1016,385710
1017,1216880
1018,670160
1019,209190
1020,1195270
1021,359580
1022,685400
1023,906390
1024,773580
1025,628800
1026,874830
1027,1240550
1028,536450
1029,215670
1030,386700
1031,585600
1032,494720
1033,585610
1034,438480
1035,729660
1036,294460
1037,564940
1038,732400
1039,211580
1040,1160020
1041,425650
1042,527150
1043,1194690
1044,1296840
1045,305920
1046,1010170
1047,1077450
1048,941730
1049,636150
1050,562360
1051,364740
1052,365440
1053,560080
1054,793740
1055,611860
1056,978800
1057,891130
1058,635060
1059,958090
1060,862110
1061,1356480
1062,486690
1063,724490
1064,488770
1065,1507420
1066,931310
1067,839080
1068,348270
1069,567010
1070,1094250
1071,1443200
1072,1040940
1073,973240
1074,976030
1075,1056690
1076,816220
1077,416760
1078,1360530
1079,595440
1080,1151620
1081,435460
1082,1290000
1083,351290
1084,330460
1085,1079620
1086,870200
1087,732240
1088,464360
1089,287220
1090,259660
1091,392080
1092,824070
1093,346420
1094,227160
1095,247350
1096,366000
1097,792640
1098,483960
1099,1418160
1100,3330
1101,1266800
1102,1460040
1103,1502230
1104,1349850
1105,1560770
1106,753360
1107,1480020
1108,946090
1109,494090
1110,3620
1111,1205260
1112,340360
1113,1170610
1114,755470
1115,1096720
1116,269710
1117,696590
1118,1316560
1119,516790
1120,738270
1121,1573300
1122,997060
1123,209950
1124,1399930
1125,1609160
1126,1205960
1127,654300
1128,1457810
1129,1157750
1130,351490
1131,725370
1132,965590
1133,1021800
1134,416630
1135,844210
1136,352140
1137,301150
1138,3310
1139,899540
1140,1214410
1141,348910
1142,461220
1143,1333990
1144,286200
1145,499370
1146,3300
1147,1554770
1148,1383740
1149,338120
1150,61730
1151,1275290
1152,345640
1153,1196750
1154,1138080
1155,905660
1156,494230
1157,1354230
1158,1093290
1159,605990
1160,1515460
1161,653940
1162,1505560
1163,282210
1164,252450
1165,282590
1166,646500
1167,245370
1168,464880
1169,340210
1170,241000
1171,305840
1172,984680
1173,265970
1174,236130
1175,477730
1176,991560
1177,502820
1178,812870
1179,321190
1180,342580
1181,21010
1182,541660
1183,423120
1184,861030
1185,614090
1186,389160
1187,360650
1188,8880
1189,494990
1190,422130
1191,8890
1192,21030
1193,377070
1194,299540
1195,342530
1196,800620
1197,316140
1198,1101420
1199,1274820
1200,973440
1201,1010100
1202,1114520
1203,331760
1204,304290
1205,1234760
1206,589250
1207,854860
1208,337680
1209,406170
1210,258890
1211,656600
1212,583760
1213,377360
1214,760330
1215,567290
1216,1097170
1217,922550
1218,1006220
1219,975620
1220,1294230
1221,1318530
1222,3450
1223,393320
1224,1101130
1225,449150
1226,649990
1227,1170750
1228,1510410
1229,1549200
1230,856490
