0,1,2,3
USC00413270,18700101,PRCP,0
USC00440755,18700101,PRCP,0
USC00474966,18700101,PRCP,114
USC00474966,18700101,TMAX,-44
USC00474966,18700101,TMIN,-44
USW00014767,18700101,PRCP,0
USW00014767,18700101,SNOW,0
USW00094728,18700101,TMAX,61
USW00094728,18700101,TMIN,11
USW00094728,18700101,PRCP,20
USW00094728,18700101,SNOW,0
ASN00014016,18700102,PRCP,91
ASN00022801,18700102,PRCP,0
ASN00023000,18700102,PRCP,5
ASN00026005,18700102,PRCP,0
ASN00026020,18700102,PRCP,0
ASN00026026,18700102,PRCP,0
ASN00040214,18700102,PRCP,0
ASN00055020,18700102,PRCP,0
ASN00056207,18700102,PRCP,0
ASN00061055,18700102,PRCP,0
ASN00063004,18700102,PRCP,0
ASN00066007,18700102,PRCP,0
ASN00066062,18700102,TMAX,260
ASN00066062,18700102,TMIN,192
ASN00066062,18700102,PRCP,0
ASN00067015,18700102,PRCP,0
ASN00068066,18700102,PRCP,0
ASN00068140,18700102,PRCP,0
ASN00069015,18700102,PRCP,10
ASN00071010,18700102,PRCP,0
ASN00074124,18700102,PRCP,0
ASN00074128,18700102,PRCP,0
ASN00075048,18700102,PRCP,0
ASN00075080,18700102,PRCP,0
ASN00079042,18700102,PRCP,0
ASN00081003,18700102,PRCP,0
ASN00081022,18700102,PRCP,0
ASN00082051,18700102,PRCP,0
ASN00084016,18700102,PRCP,0
ASN00086071,18700102,TMAX,327
ASN00086071,18700102,TMIN,150
ASN00086071,18700102,PRCP,0
ASN00086079,18700102,PRCP,0
ASN00086085,18700102,PRCP,0
ASN00088020,18700102,PRCP,28
ASN00089000,18700102,PRCP,0
ASN00090015,18700102,TMAX,222
ASN00090015,18700102,TMIN,144
AU000005901,18700102,TMAX,-1
AU000005901,18700102,TMIN,-38
BE000006447,18700102,TMAX,81
BE000006447,18700102,TMIN,40
CA006101872,18700102,PRCP,0
CA006101872,18700102,SNOW,0
CA006106362,18700102,TMAX,28
CA006106362,18700102,TMIN,-89
CA006106362,18700102,PRCP,0
CA006106362,18700102,SNOW,0
CA006110549,18700102,PRCP,229
CA006110549,18700102,SNOW,229
CA006122845,18700102,TMAX,6
CA006122845,18700102,TMIN,-28
CA006122845,18700102,MDPR,254
CA006122845,18700102,MDSF,254
CA006137735,18700102,PRCP,0
CA006137735,18700102,SNOW,0
CA006139520,18700102,PRCP,0
CA006139520,18700102,SNOW,0
CA006148100,18700102,PRCP,0
CA006148100,18700102,SNOW,0
CA006150689,18700102,PRCP,254
CA006150689,18700102,SNOW,97
CA006153192,18700102,PRCP,1166
CA006153192,18700102,SNOW,0
CA006158350,18700102,TMAX,33
CA006158350,18700102,TMIN,-22
CA006158350,18700102,PRCP,279
CA006158350,18700102,SNOW,25
CA006166416,18700102,PRCP,112
CA006166416,18700102,SNOW,112
CA007023240,18700102,PRCP,0
CA007023240,18700102,SNOW,0
CA008205698,18700102,TMAX,6
CA008205698,18700102,TMIN,-78
CA008205698,18700102,PRCP,140
CA008205698,18700102,SNOW,38
CE000043497,18700102,TMAX,289
CE000043497,18700102,TMIN,227
CE000434730,18700102,TMAX,178
CE000434730,18700102,TMIN,94
EI000003969,18700102,TMAX,67
EI000003969,18700102,TMIN,19
EI000003969,18700102,PRCP,3
EIE00101859,18700102,TMAX,78
EIE00101859,18700102,TMIN,33
EIE00101859,18700102,PRCP,38
ENE00175063,18700102,PRCP,5
EZE00100082,18700102,TMAX,-30
EZE00100082,18700102,TMIN,-83
EZE00100082,18700102,PRCP,0
GME00122374,18700102,PRCP,0
GME00122374,18700102,SNWD,50
GME00125218,18700102,TMAX,35
GME00125218,18700102,TMIN,-8
